"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Is Associated Structure?","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federally Regulated Dam","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Built Under the Authority of the Secretary of Agriculture","NRCS Watershed Dam Authorization","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks (ft)","Lock Width (Ft)","Length of Secondary Lock (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","Operational Status","Operational Status Date","Inundation Maps Added to NID?","American Indian/Alaska Native/Native Hawaiian"
"Quail","Peace Valley Pipeline Intake","","CA01594","","CA01594","California Department of Water Resources","State","State","1","No","DWR","No","Water Supply","Water Supply;Hydroelectric","Federal Energy Regulatory Commission","02426-04-01","34.772796","-118.761555","California","Los Angeles","Piru","32","West Branch CA Aqueduct       ","California, Congressional District 27","No","No","","No","No","No","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Earth","Earth","","","50","37","42","50","51-100 feet","350","","1981","1980-1989","","8613","8613","7440","290","6.6000000000000005","","None","","","","","","","","2024-01-19","2023-05-10","1","High","Satisfactory","2023-09-29","Yes","2022-01-04","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Lake Alta","","","CA00355","","CA00355","Placer County Water Agency","Local Government","Local Government","0","No","","Yes","Other","Other;Irrigation;Water Supply","California","1030.007","39.2025","-120.81670000000001","California","Placer","Unpopulated","0","Tr Nfk American R","California, Congressional District 03","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","22","","20","22","Less than 25 feet","955","20827","1862","Before 1900","","270","270","","23","0.08","","","","","","","","","","2024-02-22","2023-02-07","1","High","Fair","2017-09-01","Yes","2022-12-12","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","Yes",""
"Diamond Valley Lake Forebay","","","CA01413","","CA01413","Metropolitan Water District Of Southern California","Public Utility","Public Utility","0","No","","No","Other","Other;Water Supply","California","35.019","33.676","-117.0704","California","Riverside","Menifee","4","Domenigoni Val Can","California, Congressional District 41","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","22","","17","22","Less than 25 feet","4482","1713000","1999","1990-1999","","500","500","","31","0.13","","","","","","","","","","2024-02-22","2022-02-24","0.5","Low","Satisfactory","2017-09-01","Yes","2018-12-28","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Conagra Aerated and Settling Ponds","","","CA01604","","CA01604","ConAgra Grocery Products Company, LLC","Private","Private","0","No","","No","Water Supply","Water Supply;Fire Protection, Stock, Or Small Fish Pond;Irrigation","California","568","37.7558","-120.84570000000001","California","Stanislaus","Oakdale","0.1","Offstream","California, Congressional District 05","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","15","","15","15","Less than 25 feet","2860","0","","Undetermined","","140","140","","12","","","","","","","","","","","2024-02-22","2022-10-19","1","High","Fair","2017-09-01","Yes","2022-03-07","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","Yes",""
"Chesbro","","","CA00995","","CA00995","Rancho Murieta Community Services District","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply","California","1450.002","38.509","-121.07260000000001","California","Sacramento","Rancho Murieta","0","Tr Cosumnes Rv","California, Congressional District 07","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","79","","76","79","51-100 feet","720","425000","1972","1970-1979","","1250","1250","","46","0.14","","","","","","","","","","2024-02-22","2022-02-10","1","High","Satisfactory","2017-09-01","Yes","2022-10-05","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Almaden","","","CA00289","","CA00289","Santa Clara Valley Water District","Public Utility","Public Utility","0","No","","No","Other","Other;Irrigation;Water Supply","California","72.004","37.1646","-121.828","California","Santa Clara","San Jose","2.5","Alamitos Creek","California, Congressional District 19","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","110","","102","110","Greater than 100 feet","500","250000","1936","1930-1939","","2000","2000","","62","12.5","","","","","","","","","","2024-02-22","2022-12-01","1","High","Fair","2017-09-01","Yes","2023-08-11","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","Yes",""
"Middle Fork Interbay","","","CA00858","","CA00858","Placer County Water Agency","Local Government","Local Government","1","No","McCreary-Koretsky","No","Irrigation","Irrigation;Hydroelectric;Water Supply","Federal Energy Regulatory Commission","02079-06-01","39.0264","-120.6032","California","Placer","Auburn                                            ","38","Middle Fork American River    ","California, Congressional District 03","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Concrete","Concrete;Gravity","","","70","64","71","71","51-100 feet","233","14360","1966","1960-1969","","155","155","155","7","33.2","37400","Controlled","140","","","","","","Tainter (radial)4","2024-01-19","2022-06-22","3","Low","Satisfactory","2023-09-29","Not Required","2022-12-20","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Modesto Reservoir","","","CA00243","","CA00243","Modesto Irrigation District","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply;Irrigation","California","59","37.662","-120.6807","California","Stanislaus","Waterford","4.75","Tr Tuolumne Rv","California, Congressional District 05","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","36","","36","36","25-50 feet","1235","55000","1911","1910-1919","","40000","40000","","3800","10","","","","","","","","","","2024-02-22","2022-04-13","1","High","Satisfactory","2017-09-01","Yes","2020-12-31","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Bidwell Lake","","","CA00530","","CA00530","Indian Valley Community Service District","Public Utility","Public Utility","0","No","","Yes","Water Supply","Water Supply;Irrigation;Recreation","California","273","40.1137","-120.96180000000001","California","Plumas","Greenville","1.7","No Canyon Cr","California, Congressional District 03","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","35","","31","35","25-50 feet","325","40000","1865","Before 1900","","5200","5200","","487","8.93","","","","","","","","","","2022-12-23","2022-04-07","1","High","Satisfactory","2017-09-01","Yes","2020-05-11","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Buck Island Main","","","CA00821","","CA00821","Sacramento Municipal Utility District","Public Utility","Public Utility","2","No","Bechtel","No","Hydroelectric","Hydroelectric;Recreation","Federal Energy Regulatory Commission","02101-03-01","39.0047","-120.25670000000001","California","El Dorado","Folsom                                            ","45","Rockbound Creek               ","California, Congressional District 03","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Concrete","Concrete;Gravity","","","22","16","22","22","Less than 25 feet","233","2000","1963","1960-1969","","1070","1070","1010","78","6.1000000000000005","15000","Uncontrolled","4","","","","","","","2024-01-19","2019-08-13","3","Low","Satisfactory","2023-09-29","Not Required","2022-12-30","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
