"Dam_Name","Longitude","Latitude","River","Dam_Height_ft.x","Year_Built.x","Dam_Height_ft.y","Year_Built.y","Removed"
"McCormick-Saeltzer Dam",-122.471,40.49316,"Clear Creek",18,1907,NA,NA,1
"Crocker Creek Dam",-122.959,38.77714,"Crocker Creek",30,1904,NA,NA,1
"Cascade Diversion Dam",-119.682,37.71827,"Merced River",18,1918,NA,NA,1
"Waterman Dam",-122.176097,37.21437,"Waterman Creek",12,1900,NA,NA,1
"Hostler Creek Dam ",-123.668,41.07869,"Hostler Creek",14,1940,NA,NA,1
"Cahill Dam",-121.986,37.03797,"Branciforte Creek",8,1931,NA,NA,1
"Lion Creek Diversion Dam",-119.164,34.54438,"Lion Creek",3,1940,NA,NA,1
"San Clemente Dam",-121.7088,36.4359,"Carmel River",106,1921,NA,NA,1
"Old Carmel River Dam",-121.7048028,36.43875,"Carmel River",32,1883,NA,NA,1
"Benbow Dam",-123.7961,40.0666,"South Fork Eel River",20,1931,NA,NA,1
"Dennett Dam",-120.98784,37.62733,"Tuolumne River",10,1933,NA,NA,1
"Lagunita Diversion Dam",-122.1742,37.4234,"San Francisquito Creek",8,1900,NA,NA,1
"HJFD3",-117.515912,33.68271815,"Holy Jim Creek",3,1970,NA,NA,1
"HJFD4",-117.515878,33.68289515,"Holy Jim Creek",2,1970,NA,NA,1
"HJFD5",-117.515863,33.68302615,"Holy Jim Creek",5,1970,NA,NA,1
"Maria Ygnacio Debris Basin Dam East Branch",-119.791167,34.460633,"East Branch Maria Ygnacio Creek",20,1990,NA,NA,1
"Maria Ygnacio Debris Basin Dam Main Branch",-119.791906,34.475239,"Maria Ygnacio Creek",20,1990,NA,NA,1
"SCFD4",-117.501699,33.59047015,"Silverado Creek",10,1970,NA,NA,1
"SCFD5",-117.5015405,33.59077823,"Silverado Creek",3,1970,NA,NA,1
"SJFD12",-117.499648,33.59060215,"San Juan Creek",10,1970,NA,NA,1
"SJFD13",-117.499024,33.59071315,"San Juan Creek",2,1970,NA,NA,1
"SJFD14",-117.497336,33.59259715,"San Juan Creek",12,1970,NA,NA,1
"SJFD15",-117.496232,33.59279315,"San Juan Creek",4,1970,NA,NA,1
"SJFD17",-117.471615,33.59266615,"San Juan Creek",2,1970,NA,NA,1
"SJFD18",-117.473384,33.59252015,"San Juan Creek",3,1970,NA,NA,1
"SJFD19",-117.474884,33.59249515,"San Juan Creek",6,1970,NA,NA,1
"SJFD20",-117.475298,33.59287715,"San Juan Creek",10,1970,NA,NA,1
"SJFD21",-117.4709178,33.59209689,"San Juan Creek",3,1970,NA,NA,1
"SJFD22",-117.470796,33.59212115,"San Juan Creek",2,1970,NA,NA,1
"SJFD23",-117.468106,33.59424715,"San Juan Creek",13,1970,NA,NA,1
"SJFD24",-117.470796,33.59212115,"San Juan Creek",5,1970,NA,NA,1
"SJFD25",-117.468106,33.59424715,"San Juan Creek",2,1970,NA,NA,1
"SJFD26",-117.4667394,33.59384097,"San Juan Creek",5,1970,NA,NA,1
"SJFD27",-117.466307,33.59372615,"San Juan Creek",5,1970,NA,NA,1
"Beale Dam",-121.338499,39.108423,"Dry Creek",12,1943,NA,NA,1
"Columbine Dam",-121.7935,37.35344,"Flint Creek",24,1963,NA,NA,1
"Lower Mill Creek Dam ",-122.1686,37.04256,"Mill Creek",15,1910,NA,NA,1
"Cedar Creek Hatchery Dam",-123.7075,39.8398,"Cedar Creek",20,1948,NA,NA,1
"Copco 2 Dam",-122.34025,41.97902,"Klamath River",63,1925,NA,NA,1
