"Dam_Name","Longitude","Latitude","River","Dam_Height_ft.x","Year_Built.x","Removed","Dam_Height_ft.y","Year_Built.y","Dam_Height_Bin"
"Big Creek Manufacturing Dam",NA,NA,"Big Creek",14,NA,1,NA,NA,"(0,50]"
"Minnie Reeves Dam",-122.908,40.63811,"Indian Creek",20,NA,1,NA,NA,"(0,50]"
"Lone Jack Dam",NA,NA,"Trinity River (East Fork of North Fork)",24,NA,1,NA,NA,"(0,50]"
"Arco Pond Dam",NA,NA,"",10,NA,1,NA,NA,"(0,50]"
"Salt Creek Dam",-122.795,39.29306,"Salt Creek",10,NA,1,NA,NA,"(0,50]"
"Lower Murphy Dam",-122.918,38.06938,"Home Bay",6,NA,1,NA,NA,"(0,50]"
"Upper Murphy Dam",-122.904,38.08526,"Home Ranch Creek",25,NA,1,NA,NA,"(0,50]"
"Russell Dam (Hinkley Dam)",NA,NA,"Hayfork Creek",11,NA,1,NA,NA,"(0,50]"
"Hessellwood Dam",NA,NA,"Hayfork Creek",10,NA,1,NA,NA,"(0,50]"
"Anderline Dam",NA,NA,"Rush Creek",20,NA,1,NA,NA,"(0,50]"
"Bonally Mining Co. Dam",NA,NA,"Salmon River (North Fork)",11,NA,1,NA,NA,"(0,50]"
"Trinity Cty. Water & Power Co. Dam",NA,NA,"Trinity River (East Fork)",10,NA,1,NA,NA,"(0,50]"
"D.B. Fields Dam",NA,NA,"Indian Creek",6,NA,1,NA,NA,"(0,50]"
"Altoona Dam",NA,NA,"Kidder Creek",12,NA,1,NA,NA,"(0,50]"
"Big Nugget Mine Dam",NA,NA,"Horse Creek",12,NA,1,NA,NA,"(0,50]"
"Todd Dam",NA,NA,"Trinity River (East Fork of North Fork)",14,NA,1,NA,NA,"(0,50]"
"Smith Dam",NA,NA,"White's Gulch",8,NA,1,NA,NA,"(0,50]"
"Clarissa V. Mining Dam",NA,NA,"Redding Creek",20,NA,1,NA,NA,"(0,50]"
"Bennett-Smith Dam",NA,NA,"Salmon River (South Fork)",10,NA,1,NA,NA,"(0,50]"
"Barton Dam",NA,NA,"Scott River (South Fork)",12,NA,1,NA,NA,"(0,50]"
"North Fork Placers Dam",NA,NA,"Trinity River (North Fork)",15,NA,1,NA,NA,"(0,50]"
"Red Hill Mining Do. Dam",NA,NA,"Canyon Creek",30,NA,1,NA,NA,"(0,50]"
"Quinn Dam",NA,NA,"Trinity River (East Fork of North Fork)",14,NA,1,NA,NA,"(0,50]"
"Sweasey Dam",-123.956,40.81962,"Mad River",55,NA,1,NA,NA,"(50,100]"
"Bear Valley Dam",-122.814,37.99325,"",15,NA,1,NA,NA,"(0,50]"
"Rogers Dam",-122.787,38.04692,"Tributary to Olema Creek",40,NA,1,NA,NA,"(0,50]"
"Happy Isles Dam",NA,NA,"",8,NA,1,NA,NA,"(0,50]"
"Upper Dam (Lost Man Dam)",-124.02192,41.329068,"Lost Man Creek",7,NA,1,NA,NA,"(0,50]"
"Unnamed Dam #1",NA,NA,"Wildcat Creek",6,NA,1,NA,NA,"(0,50]"
"Unnamed Dam #2",NA,NA,"Wildcat Creek",6,NA,1,NA,NA,"(0,50]"
"Point Four Dam",NA,NA,"Butte Creek",6,NA,1,NA,NA,"(0,50]"
"C-Lind Dam #1",NA,NA,"",56,NA,1,NA,NA,"(50,100]"
"Lake Christopher Dam",NA,NA,"Cold Creek",10,NA,1,NA,NA,"(0,50]"
"McPherrin Dam",-121.874,39.44674,"Butte Creek",12,NA,1,NA,NA,"(0,50]"
"Western Canal East Dam",NA,NA,"Butte Creek",10,NA,1,NA,NA,"(0,50]"
