"Dam_Name","Longitude","Latitude","River","Dam_Height_ft.x","Year_Built.x","Removed","Dam_Height_ft.y","Year_Built.y","Dam_Height_Bin","Geoid"
"Big Creek Manufacturing Dam",NA,NA,"Big Creek",14,NA,1,NA,NA,"(0,50]",NA
"Minnie Reeves Dam",-122.908,40.63811,"Indian Creek",20,NA,1,NA,NA,"(0,50]",NA
"Lone Jack Dam",NA,NA,"Trinity River (East Fork of North Fork)",24,NA,1,NA,NA,"(0,50]",NA
"Arco Pond Dam",NA,NA,"",10,NA,1,NA,NA,"(0,50]",NA
"Salt Creek Dam",-122.795,39.29306,"Salt Creek",10,NA,1,NA,NA,"(0,50]",NA
"Lower Murphy Dam",-122.918,38.06938,"Home Bay",6,NA,1,NA,NA,"(0,50]",NA
"Upper Murphy Dam",-122.904,38.08526,"Home Ranch Creek",25,NA,1,NA,NA,"(0,50]",NA
"Russell Dam (Hinkley Dam)",NA,NA,"Hayfork Creek",11,NA,1,NA,NA,"(0,50]",NA
"Hessellwood Dam",NA,NA,"Hayfork Creek",10,NA,1,NA,NA,"(0,50]",NA
"Anderline Dam",NA,NA,"Rush Creek",20,NA,1,NA,NA,"(0,50]",NA
"Bonally Mining Co. Dam",NA,NA,"Salmon River (North Fork)",11,NA,1,NA,NA,"(0,50]",NA
"Trinity Cty. Water & Power Co. Dam",NA,NA,"Trinity River (East Fork)",10,NA,1,NA,NA,"(0,50]",NA
"D.B. Fields Dam",NA,NA,"Indian Creek",6,NA,1,NA,NA,"(0,50]",NA
"Altoona Dam",NA,NA,"Kidder Creek",12,NA,1,NA,NA,"(0,50]",NA
"Big Nugget Mine Dam",NA,NA,"Horse Creek",12,NA,1,NA,NA,"(0,50]",NA
"Todd Dam",NA,NA,"Trinity River (East Fork of North Fork)",14,NA,1,NA,NA,"(0,50]",NA
"Smith Dam",NA,NA,"White's Gulch",8,NA,1,NA,NA,"(0,50]",NA
"Clarissa V. Mining Dam",NA,NA,"Redding Creek",20,NA,1,NA,NA,"(0,50]",NA
"Bennett-Smith Dam",NA,NA,"Salmon River (South Fork)",10,NA,1,NA,NA,"(0,50]",NA
"Barton Dam",NA,NA,"Scott River (South Fork)",12,NA,1,NA,NA,"(0,50]",NA
"North Fork Placers Dam",NA,NA,"Trinity River (North Fork)",15,NA,1,NA,NA,"(0,50]",NA
"Red Hill Mining Do. Dam",NA,NA,"Canyon Creek",30,NA,1,NA,NA,"(0,50]",NA
"Quinn Dam",NA,NA,"Trinity River (East Fork of North Fork)",14,NA,1,NA,NA,"(0,50]",NA
"Sweasey Dam",-123.956,40.81962,"Mad River",55,NA,1,NA,NA,"(50,100]",NA
