"Dam_Name","Longitude","Latitude","River","Dam_Height_ft","Year_Built","Removed","Unique_ID","Geoid"
"Minnie Reeves Dam",-122.908,40.63811,"Indian Creek",20,NA,1,1,"06105000101"
"Trout Haven Dam",-123.815,41.89046,"Monkey Creek",NA,NA,1,2,"06015000202"
"Salt Creek Dam",-122.795,39.29306,"Salt Creek",10,NA,1,3,"06033000501"
"Lower Murphy Dam",-122.918,38.06938,"Home Bay",6,NA,1,4,"06041132200"
"Upper Murphy Dam",-122.904,38.08526,"Home Ranch Creek",25,NA,1,5,"06041132200"
"D.B. Fields/Johnson Dam",-123.399,39.29508,"Rice Creek",NA,NA,1,6,"06045010900"
"Sweasey Dam",-123.956,40.81962,"Mad River",55,NA,1,7,"06023010300"
"Bear Valley Dam",-122.814,37.99325,"",15,NA,1,8,"06041132200"
"Rogers Dam",-122.787,38.04692,"Tributary to Olema Creek",40,NA,1,9,"06041132200"
"Upper Dam (Lost Man Dam)",-124.02192,41.329068,"Lost Man Creek",7,NA,1,10,"06023010200"
"McPherrin Dam",-121.874,39.44674,"Butte Creek",12,NA,1,11,"06021010502"
"McCormick-Saeltzer Dam",-122.471,40.49316,"Clear Creek",18,1907,1,12,"06089012302"
"Swim Dam #1",-121.827,37.51295,"Alameda Creek",NA,NA,1,13,"06001450701"
"Swim Dam #2",-121.826,37.51093,"Alameda Creek",NA,NA,1,14,"06001450701"
"Crocker Creek Dam",-122.959,38.77714,"Crocker Creek",30,1904,1,15,"06097154100"
"East Panther Creek Dam",-120.3975,38.49,"East Panther Creek",12,NA,1,16,"06005000102"
"Cascade Diversion Dam",-119.682,37.71827,"Merced River",18,1918,1,17,"06043000400"
"Murphy Creek Dam (Sparrow Dam)",-121.026446,38.234021,"Murphy Creek",12,NA,1,18,"06077004703"
"Mumford Dam",-123.208,39.27739,"Russian River (West Fork)",NA,NA,1,19,"06045010801"
"Haypress Pond Dam",-122.547,37.86288,"Unnamed Tributary",20,NA,1,20,"06041131100"
"West Panther Creek Dam",-120.393264,38.492942,"West Panther Creek",14,NA,1,21,"06005000102"
"York Creek Diversion Structure",-122.496,38.5095,"York Creek",NA,NA,1,22,"06055201500"
"Niles Dam",-121.963,37.58591,"Alameda Creek",NA,NA,1,23,"06001441100"
"Sunol Dam",-121.902,37.5944,"Alameda Creek",NA,NA,1,24,"06001450701"
"Horse Creek Dam",-120.017,34.83759,"Horse Creek",12,NA,1,25,"06083001800"
"Tucker Road Ford",-121.958,37.09985,"Soquel Creek",5,NA,1,26,"06087121000"
"Araujo Dam",-122.53,41.68764,"Shasta River",NA,1856,1,27,"06093000300"
"Rooney Bros Dam",-121.343,38.35819,"Consumnes River",NA,NA,1,28,"06067009403"
"Hall Wines Dam (Dry Creek Dam)",-122.316,38.37706,"Dry Creek",NA,1960,1,29,"06055201200"
"East Mill Creek Dam",-124.273,40.32146,"East Mill Creek",12,NA,1,30,"06023011200"
"White Gulch Dam #1 (Whites Gulch Lower Dam)",-123.083,41.2909,"Whites Gulch, Tributary to the Salmon River",NA,NA,1,31,"06093000800"
